id,name,type
1,man_100m,short
2,man_200m,short
3,man_400m,short
4,man_110mH,short
5,man_400mH,short
6,woman_100m,short
7,woman_200m,short
8,woman_400m,short
9,woman_100mH,short
10,woman_400mH,short
11,other_sprint,short
12,man_800m,long
13,man_1500m,long
14,man_3000m,long
15,man_5000m,long
16,man_10000m,long
17,man_5000mW,long
18,man_10000mW,long
19,man_3000mSC,long
20,woman_800m,long
21,woman_1500m,long
22,woman_3000m,long
23,woman_5000m,long
24,woman_10000m,long
25,woman_5000mW,long
26,woman_10000mW,long
27,woman_3000mSC,long
28,other_long_distance,long_distance
29,man_4x100mR,relay
30,man_4x400mR,relay
31,woman_4x100mR,relay
32,woman_4x400mR,relay
33,other_relay,relay
34,man_LJ,field
35,man_TJ,field
36,man_PJ,field
37,man_HJ,field
38,man_SP,field
39,man_DT,field
40,man_JT,field
41,man_HT,field
42,woman_LJ,field
43,woman_TJ,field
44,woman_PJ,field
45,woman_HJ,field
46,woman_SP,field
47,woman_DT,field
48,woman_JT,field
49,woman_HT,field
50,other_field,field
51,decathlon,decathlon
52,heptathlon,heptathlon
53,road,road
