competition,result,round,group,rane,finish,first_athlete_id,second_athlete_id,third_athlete_id,fourth_athlete_id,tournament_id,first_athlete_grade,second_athlete_grade,third_athlete_grade,fourth_athlete_grade,established_date,information,condition,official
man_4x400mR,"",,"","","",110,97,102,100,422,b2,b4,b4,b4,2017-04-29,DNS,,true
man_4x100mR,44020,,"","","",157,97,100,154,428,b1,b4,b4,b1,2017-06-17,,,true
man_4x400mR,211390,,"","","",97,109,102,160,428,b4,b2,b4,b1,2017-06-17,,,true
man_4x100mR,44420,決勝,1,7,"",157,97,100,160,429,b1,b4,b4,b1,2017-06-25,,,true
man_4x400mR,202040,決勝,2,3,"",109,101,97,163,429,b2,b4,b4,b1,2017-06-25,第6位入賞,,true
man_4x100mR,44010,決勝,1,3,1,157,97,100,156,433,b1,b4,b4,b1,2017-08-27,,,true
man_4x100mR,44140,予選,3,2,7,157,97,100,156,436,b1,b4,b4,b1,2017-09-15,,,true
man_4x400mR,201160,予選,1,7,5,97,101,156,102,436,b4,b4,b1,b4,2017-09-15,関カレ標準突破！,,true
man_4x100mR,42790,記録会,5,5,"",101,156,110,157,437,b4,b1,b2,b1,2017-09-30,,,true
man_4x400mR,206610,記録会,4,4,"",97,102,110,156,437,b4,b4,b2,b1,2017-09-30,,,true
man_4x100mR,44290,,"","","",109,156,110,157,442,b2,b1,b2,b1,2018-03-23,,,true
man_4x400mR,202310,予選,2,8,5,156,110,109,157,445,b2,b3,b3,b2,2018-05-24,,,true
man_4x400mR,"",決勝,2,3,"",156,110,109,160,446,b2,b3,b3,b2,2018-06-09,DQ,,true
man_4x100mR,43010,決勝,2,3,"",97,154,110,157,447,m1,b2,b3,b2,2018-06-24,4位入賞,,true
man_4x400mR,207170,決勝,2,3,"",109,110,156,160,447,b3,b3,b2,b2,2018-06-24,5位入賞,,true
